pool_id,x_id,x_ticker,y_id,y_ticker
bee300e9c81e48d7ab5fc29294c7bbb536cf9dcd9c91ee3be9898faec91b11b6,0,ERG,03faf2cb329f2e90d6d23b58d91bbb6c046aa143261cc21f52fbe2824bfcbf04,SigUSD
beed0c492a92f48af41d5496522b01f973d80d2bf58ca0696125dc543ee651b5,0,ERG,ac992a1ca8494be17a29c79c9bc7f2aeacf75cf3826d62f95cc921cf463c3f35,💩
bfb483069f2809349a9378e8a746cbdcb44c66f94d0e839fd14158e8829eea68,472c3d4ecaa08fb7392ff041ee2e6af75f4a558810a74b28600549d5392810e8,NETA,03faf2cb329f2e90d6d23b58d91bbb6c046aa143261cc21f52fbe2824bfcbf04,SigUSD
c0070feda814a6d74f97ac24444976a4d07aae9d2645874732df99e94617bfdb,0,ERG,944f72c571f7e894fe75fe5b351cdc67ea2fa6daa538321d72f759d551b1d147,ADA
c1b9c430249bd97326042fdb09c0fb6fe1455d498a20568cc64390bfeca8aff2,0,ERG,5a34d53ca483924b9a6aa0c771f11888881b516a8d1a9cdc535d063fe26d065e,LunaDog
c4148eb1302d85ea285085fddc4de511c95680acf21989166ef6c659cced9405,ef802b475c06189fdbf844153cdc1d449a5ba87cce13d11bb47b5a539f27f12b,WT_ERG,30974274078845f263b4f21787e33cc99e9ec19a17ad85a5bc6da2cca91c5a2e,WT_ADA
c4d0af619679116d126866356a717d4024b59632e6320c60c37c7a44f97f2d22,0,ERG,0779ec04f2fae64e87418a1ad917639d4668f78484f45df962b0dec14a2591d2,Mi Goreng
c8f0a31d4d732ca3c2013bd200a91ee31dcdf76ffe81bec277e9ea005b684547,0,ERG,a00e5ff4d907b81b3c7cb1253ee649bd454d1b72c381e0e49dfc9b3e3ae5c145,Fed Coin
ca6d36f0db717faa72f2b3a44831879874084a2a2fb363da5cd7524a73198f7c,ef802b475c06189fdbf844153cdc1d449a5ba87cce13d11bb47b5a539f27f12b,WT_ERG,30974274078845f263b4f21787e33cc99e9ec19a17ad85a5bc6da2cca91c5a2e,WT_ADA
d1857fcb360400110c626fb356aa80277e3693c66ecc713c86fd71c78ca10cca,ef802b475c06189fdbf844153cdc1d449a5ba87cce13d11bb47b5a539f27f12b,WT_ERG,30974274078845f263b4f21787e33cc99e9ec19a17ad85a5bc6da2cca91c5a2e,WT_ADA
d367c8a6c801dc46e4d95680cc6d6dba62a41f77239de6591a0f4159733ee14b,ef802b475c06189fdbf844153cdc1d449a5ba87cce13d11bb47b5a539f27f12b,WT_ERG,30974274078845f263b4f21787e33cc99e9ec19a17ad85a5bc6da2cca91c5a2e,WT_ADA
d48b6950a047a02b2fde55d8dea9cfeb1465167470d77fc63101fb3efa779ce2,0cd8c9f416e5b1ca9f986a7f10a84191dfb85941619e49e53c0dc30ebf83324b,COMET,9dbc8dd9d7ea75e38ef43cf3c0ffde2c55fd74d58ac7fc0489ec8ffee082991b,ErMoon
d7868533f26db1b1728c1f85c2326a3c0327b57ddab14e41a2b77a5d4c20f4b2,0,ERG,d71693c49a84fbbecd4908c94813b46514b18b67a99952dc1e6e4791556de413,ergopad
da2bab23ec195887e591a79c4adadca8aba82627da6e2a2f71fc695b091a9960,185e217d80d797800bfa699afda708ee101ae664f8ea237d9fc3a3824b7c3ecb,🍆💦,0779ec04f2fae64e87418a1ad917639d4668f78484f45df962b0dec14a2591d2,Mi Goreng
ddcfb0239162a95ebd9265563d58366693882582ba87ad4d1a29425596936ae1,0,ERG,0cd8c9f416e5b1ca9f986a7f10a84191dfb85941619e49e53c0dc30ebf83324b,COMET
e24d17f85ac406827b0436a648f3960d8965e677700949ff28ab0ca9a37dd50e,0,ERG,29275cf36ffae29ed186df55ac6f8d47b367fe8e398721e200acb71bc32b10a0,xyzpad
e3989fdc13d47e2113a7d421d6860325755426c5b582ff738f8d0d6efa618f4e,0,ERG,e91cbc48016eb390f8f872aa2962772863e2e840708517d1ab85e57451f91bed,Ergold
e59494b2056a3b05ccae7f01c9e9bba4e750fa452bc7835ef5ce5e2d88dbef44,0,ERG,185e217d80d797800bfa699afda708ee101ae664f8ea237d9fc3a3824b7c3ecb,🍆💦
e7e4d7eed6093259446fb1e82bcf2b588db88b97e168b034ee2b097037f952c0,ef802b475c06189fdbf844153cdc1d449a5ba87cce13d11bb47b5a539f27f12b,WT_ERG,30974274078845f263b4f21787e33cc99e9ec19a17ad85a5bc6da2cca91c5a2e,WT_ADA
ea6d2ceff1565ac062cb260f558f1ed492dcd805dcd83fd1ecaf0e0407c8f1ff,0,ERG,e91cbc48016eb390f8f872aa2962772863e2e840708517d1ab85e57451f91bed,Ergold
ebe650dfafdce787e58494f1846b5fd02609892ccc650141589a18843c33c2d1,ac992a1ca8494be17a29c79c9bc7f2aeacf75cf3826d62f95cc921cf463c3f35,💩,0779ec04f2fae64e87418a1ad917639d4668f78484f45df962b0dec14a2591d2,Mi Goreng
f0ff7bfaf0854833377487cbc37ad7c988193d8eaf7e8da641e5a3bae5313386,0779ec04f2fae64e87418a1ad917639d4668f78484f45df962b0dec14a2591d2,Mi Goreng,36aba4b4a97b65be491cf9f5ca57b5408b0da8d0194f30ec8330d1e8946161c1,Erdoge
f1fb942ebd039dc782fd9109acdb60aabea4dc7e75e9c813b6528c62692fc781,ef802b475c06189fdbf844153cdc1d449a5ba87cce13d11bb47b5a539f27f12b,WT_ERG,30974274078845f263b4f21787e33cc99e9ec19a17ad85a5bc6da2cca91c5a2e,WT_ADA
f20f1021e082d61233dad9289fd8542eda367c3d44b0159d2cdd8a3d9a76256c,30974274078845f263b4f21787e33cc99e9ec19a17ad85a5bc6da2cca91c5a2e,WT_ADA,ef802b475c06189fdbf844153cdc1d449a5ba87cce13d11bb47b5a539f27f12b,WT_ERG
f67905d4608809aba5275af543f9556f931429f2df8f8fd61bcd0e858170c8a3,29a046bbdef51c70d371f483876deeea7c2de35a80465b7c2d74c90ad68ff54e,QualiCoin,4f5c05967a2a68d5fe0cdd7a688289f5b1a8aef7d24cab71c20ab8896068e0a8,GetBlok.io Soft-Fork Governance Token
f6fd773ec289c3177645d90be61118d81bcc9c5d4e7730069d0b9ecb0a543e05,0,ERG,6e6547eb720ac46703d20a2903fc588c9a7079d2f32897b6f222cf443c5cdac7,ChickenNuggies
f709d33db375699d8f284a9f7abfb0b1a36139aa5f67945f7a231bd424a70a62,0,ERG,0b7c3cd3145209c6f455e2a0b890195eafcde934e09ca3d54d7972d1f1ce3c44,ValleyDAO
f9b9fdc5ed4cfed538e25146a929201d2622f1e63d7f8fd653f36e43267fe2a3,d71693c49a84fbbecd4908c94813b46514b18b67a99952dc1e6e4791556de413,ergopad,03faf2cb329f2e90d6d23b58d91bbb6c046aa143261cc21f52fbe2824bfcbf04,SigUSD
fdb6af4ba41646c987666db47ff14ae06e587dc2752266ffe99906df62a23db8,0,ERG,0779ec04f2fae64e87418a1ad917639d4668f78484f45df962b0dec14a2591d2,Mi Goreng
fff5e73c7c8c61335d8c4ab18a2d09029e1c9131ed195c4e0ceccf9dd0c03d7f,0,ERG,0779ec04f2fae64e87418a1ad917639d4668f78484f45df962b0dec14a2591d2,Mi Goreng
